text_length,fuzz_score,tf-idf_score,cos_sim_score,split_markers_number,complexity_markers_number,key_phrases_matches,has_span,span_normalized_position,span_ratio_split_complex,global_ratio_split_complex,apriory_pair_split_rate,candidate_title_match,candidate_title_fuzz
277.0,1.0,0.0608436890008605,0.004122483091562412,7.0,4.0,1.0,1.0,0.08771929824561403,0.0,0.6363636363636364,0.2675086107921929,1.0,1.0
277.0,1.0,0.13623730053678262,0.008127205659147662,7.0,4.0,1.0,1.0,0.08240297713981924,0.0,0.6363636363636364,0.2863568215892054,1.0,1.0
277.0,1.0,0.16145647610212369,0.01034128446281998,7.0,4.0,1.0,1.0,0.05688463583200425,0.0,0.6363636363636364,0.3110367892976589,1.0,1.0
277.0,0.8235294117647058,0.12296923267597519,0.008870761544294654,7.0,4.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.26702269692923897,0.0,0.6111111111111112
38.0,0.923076923076923,0.2923504992565642,0.03018922403093035,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3110367892976589,0.0,0.8125
276.0,1.0,0.1390785888120187,0.010901588800481013,19.0,7.0,1.0,1.0,0.7685381355932204,1.0,0.7307692307692307,0.2675086107921929,0.0,0.8
276.0,1.0,0.22139581833070127,0.013445581514908775,19.0,7.0,1.0,1.0,0.7801906779661016,1.0,0.7307692307692307,0.2863568215892054,0.0,0.6666666666666667
276.0,0.75,0.18253001565139065,0.008873304273183117,19.0,7.0,0.0,0.0,0.0,0.0,0.7307692307692307,0.3110367892976589,0.0,0.625
276.0,1.0,0.2951766885648903,0.016152246831514342,19.0,7.0,2.0,1.0,0.7399364406779662,1.0,0.7307692307692307,0.28342245989304815,1.0,1.0
66.0,0.9,0.06413714146637438,0.002860668694580419,1.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2675086107921929,0.0,0.9
66.0,0.8888888888888888,0.13224646931701423,0.004757697750101806,1.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2863568215892054,0.0,0.8888888888888888
66.0,1.0,0.2908296339746348,0.024156878704435333,1.0,2.0,1.0,1.0,0.4488888888888889,0.0,0.3333333333333333,0.3110367892976589,1.0,1.0
66.0,1.0,0.3717387465983289,0.029744006264525513,1.0,2.0,1.0,1.0,0.30444444444444446,0.0,0.3333333333333333,0.28366013071895424,1.0,1.0
66.0,1.0,0.2616284612462297,0.018757325399771953,1.0,2.0,1.0,1.0,0.2688888888888889,0.0,0.3333333333333333,0.2607879924953096,1.0,1.0
66.0,0.8666666666666667,0.12162937795587912,0.010457551569749141,1.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.26702269692923897,0.0,0.7222222222222221
66.0,1.0,0.3949370829483727,0.0355134027572104,1.0,2.0,1.0,1.0,0.3377777777777778,0.0,0.3333333333333333,0.30214723926380366,1.0,1.0
66.0,1.0,0.2574259125213712,0.019030783821655517,1.0,2.0,1.0,1.0,0.38,0.0,0.3333333333333333,0.2764423076923077,0.0,0.4761904761904761
